id_plot	plot_type	camera_number	card_number	tree_species_c	tree_species_s	tree_number	id_tree	platform	effort_days	IMG_number	Hour_h_mi	Date_m_d	year	animal_species	class	order	family	correct_time	full_date	id_occasion	Height	DBH	Max_tree_height	Basal_area_m2	Crown_radius95	Number_live_branches	Mass_branches	NDIV	Species_type_NDIV
31	1	"074"	"074"	"Dougl"	"Pseudotsuga menziesii"	"007"	"31_007"	"N"	181	"IMG0001"	"10:05"	"04-24"	2023	"Start start"	"NA"	"NA"	"NA"	"TRUE"	2023-04-24	"31_007_2023"	21.3	52.8	34.4319036261088	0.218956441584594	5.48934926567536	125.29562957683	163.804814374105	0	0
31	1	"074"	"074"	"Dougl"	"Pseudotsuga menziesii"	"007"	"31_007"	"N"	181	"IMG0309"	"07:27"	"06-10"	2023	"Periparus ater"	"Aves"	"Passeriformes"	"Paridae"	"TRUE"	2023-06-10	"31_007_2023"	21.3	52.8	34.4319036261088	0.218956441584594	5.48934926567536	125.29562957683	163.804814374105	0	0
31	1	"074"	"074"	"Dougl"	"Pseudotsuga menziesii"	"007"	"31_007"	"N"	181	"IMG0333"	"05:45"	"06-20"	2023	"Sciurus vulgaris"	"Mammalia"	"Rodentia"	"Sciuridae"	"TRUE"	2023-06-20	"31_007_2023"	21.3	52.8	34.4319036261088	0.218956441584594	5.48934926567536	125.29562957683	163.804814374105	0	0
31	1	"074"	"074"	"Dougl"	"Pseudotsuga menziesii"	"007"	"31_007"	"N"	181	"IMG0488"	"17:14"	"06-24"	2023	"Lophophanes cristatus"	"Aves"	"Passeriformes"	"Paridae"	"TRUE"	2023-06-24	"31_007_2023"	21.3	52.8	34.4319036261088	0.218956441584594	5.48934926567536	125.29562957683	163.804814374105	0	0
31	1	"074"	"074"	"Dougl"	"Pseudotsuga menziesii"	"007"	"31_007"	"N"	181	"IMG0662"	"19:11"	"07-07"	2023	"Sciurus vulgaris"	"Mammalia"	"Rodentia"	"Sciuridae"	"TRUE"	2023-07-07	"31_007_2023"	21.3	52.8	34.4319036261088	0.218956441584594	5.48934926567536	125.29562957683	163.804814374105	0	0
31	1	"074"	"074"	"Dougl"	"Pseudotsuga menziesii"	"007"	"31_007"	"N"	181	"IMG0663"	"14:41"	"07-08"	2023	"birdunid probPeriparusater"	"NA"	"NA"	"NA"	"TRUE"	2023-07-08	"31_007_2023"	21.3	52.8	34.4319036261088	0.218956441584594	5.48934926567536	125.29562957683	163.804814374105	0	0
31	1	"074"	"074"	"Dougl"	"Pseudotsuga menziesii"	"007"	"31_007"	"N"	181	"IMG0774"	"17:06"	"07-17"	2023	"Periparusater 2individuals"	"NA"	"NA"	"NA"	"TRUE"	2023-07-17	"31_007_2023"	21.3	52.8	34.4319036261088	0.218956441584594	5.48934926567536	125.29562957683	163.804814374105	0	0
31	1	"074"	"074"	"Dougl"	"Pseudotsuga menziesii"	"007"	"31_007"	"N"	181	"IMG0775"	"17:07"	"07-17"	2023	"Periparus ater"	"Aves"	"Passeriformes"	"Paridae"	"TRUE"	2023-07-17	"31_007_2023"	21.3	52.8	34.4319036261088	0.218956441584594	5.48934926567536	125.29562957683	163.804814374105	0	0
31	1	"074"	"074"	"Dougl"	"Pseudotsuga menziesii"	"007"	"31_007"	"N"	181	"IMG0997"	"23:45"	"08-08"	2023	"Apodemus flavicollis"	"Mammalia"	"Rodentia"	"Muridae"	"TRUE"	2023-08-08	"31_007_2023"	21.3	52.8	34.4319036261088	0.218956441584594	5.48934926567536	125.29562957683	163.804814374105	0	0
31	1	"074"	"074"	"Dougl"	"Pseudotsuga menziesii"	"007"	"31_007"	"N"	181	"IMG0997"	"23:45"	"08-08"	2023	"Apodemus flavicollis"	"Mammalia"	"Rodentia"	"Muridae"	"TRUE"	2023-08-08	"31_007_2023"	21.3	52.8	34.4319036261088	0.218956441584594	5.48934926567536	125.29562957683	163.804814374105	0	0
